STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",5/2/2011,5.14,1331,225,0,0,0,,63,50,,130,160,10.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/3/2011,6.71,2250,2035,0,0,0,,75,55,,270,160,14.1,19.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/4/2011,6.04,1904,651,0.5,0,0,,64,46,,300,310,14.1,23,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/5/2011,8.5,1608,1540,0,0,0,,65,46,,280,320,17.9,28,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/6/2011,5.82,1427,1842,0,0,0,,72,50,,170,160,14.1,21,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/7/2011,5.82,1604,1601,0,0,0,,72,55,,300,300,17,29.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/8/2011,4.92,1747,1744,0,0,0,,74,52,,30,30,13,17,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/9/2011,7.16,1242,1550,0,0,0,,71,54,,50,70,17.9,25.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/10/2011,5.59,1231,1223,0,0,0,,75,53,,50,30,17,23,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/11/2011,5.82,743,701,0,0,0,,71,52,,40,50,16.1,21.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/12/2011,4.92,1429,1710,0,0,0,,74,52,,140,160,14.1,19.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/13/2011,3.13,1720,1911,0,0,0,,67,52,,150,160,10.1,14.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/14/2011,5.37,1817,1803,0,0,0,,64,57,,150,180,10.1,15,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/15/2011,4.25,550,548,0.89,0,0,,69,58,,80,90,10.1,14.1,1,1,,,,1,,1,,1,,,
